Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Cd,112.41,158.0,1.69,8.994,,46.0,9.892474998631192,29.677424995893574,0.3333333333333333,0.6666666666666666,0.014838712497946787,0.0004643957588480948,0.4643957588480948,Amm2,38,12,MgCd2
Mg,24.305,173.0,1.31,7.646,,71.2,5.197053859567314,10.394107719134627,0.5,0.5,0.010394107719134626,0.00020127921786327273,0.20127921786327274,Amm2,38,12,CeMg
Cl,35.45,175.0,3.16,12.968,3.617,14.6,0.8074163850093533,2.42224915502806,0.3333333333333333,0.6666666666666666,0.00121112457751403,2.7638554619229126e-05,0.027638554619229126,P-4m2,115,3,MgCl2
Mg,24.305,173.0,1.31,7.646,,71.2,12.287592981282625,18.431389471923936,0.6666666666666666,0.6666666666666666,0.018431389471923937,0.00041709057180037913,0.4170905718003791,Amm2,38,12,CaMg2
As,74.92159,185.0,2.18,9.815,0.81,30.0,5.624148250201812,9.37358041700302,0.6,0.4,0.014060370625504531,0.00023815627535915968,0.23815627535915967,Ia-3,206,40,Mg3As2
F,18.99840316,135.0,3.98,17.423,3.339,3.74,1.7112053437788546,5.1336160313365635,0.3333333333333333,0.6666666666666666,0.0025668080156682816,0.0001630654922620812,0.1630654922620812,Pa-3,205,12,MgF2
Mg,24.305,173.0,1.31,7.646,,71.2,8.476866126616311,8.53375784558689,0.9933333333333333,0.9933333333333333,0.00853375784558689,0.00036877797668238,0.36877797668238,P-6m2,187,150,YMg149
O,15.999,152.0,3.44,13.618,1.461,5.3,2.848845848652513,5.697691697305026,0.5,0.5,0.005697691697305026,0.0002289915776251642,0.2289915776251642,P1,1,80,MgO
Sn,118.71,217.0,1.96,7.344,1.2,53.0,8.741617574018452,8.800286148340724,0.9933333333333333,0.006666666666666667,1.3112426361027678,0.0003835882017083984,0.38358820170839836,P-6m2,187,150,Mg149Sn
Te,127.6,206.0,2.1,9.01,1.971,38.0,8.86760812480806,8.927122273296703,0.9933333333333333,0.006666666666666667,1.330141218721209,0.0003898822092377515,0.3898822092377515,P-6m2,187,150,Mg149Te
Mg,24.305,173.0,1.31,7.646,,71.2,9.543459964303613,9.607510031178135,0.9933333333333333,0.9933333333333333,0.009607510031178134,0.000411137096291594,0.411137096291594,P-6m2,187,150,HoMg149
Sb,121.76,206.0,2.05,8.64,1.07,43.0,9.584167994506762,9.648491269637681,0.9933333333333333,0.006666666666666667,1.4376251991760145,0.00041572763432987385,0.41572763432987386,P-6m2,187,150,Mg149Sb
O,15.999,152.0,3.44,13.618,1.461,5.3,2.9679812812096067,5.935962562419213,0.5,0.5,0.005935962562419213,0.00025010336570008697,0.25010336570008695,P1,1,80,MgO
Ag,107.868,172.0,1.93,7.576,1.302,55.0,8.851323200236479,8.910728053929342,0.9933333333333333,0.006666666666666667,1.3276984800354719,0.00038937074152852857,0.3893707415285286,P-6m2,187,150,Mg149Ag
Mg,24.305,173.0,1.31,7.646,,71.2,5.1512749734595165,10.302549946919033,0.5,0.5,0.010302549946919032,0.00019528130554019403,0.19528130554019404,Amm2,38,12,CeMg
Cl,35.45,175.0,3.16,12.968,3.617,14.6,0.9066808525689917,2.720042557706975,0.3333333333333333,0.6666666666666666,0.0013600212788534875,1.9225585731619277e-05,0.019225585731619275,P-1,2,6,MgCl2
O,15.999,152.0,3.44,13.618,1.461,5.3,2.176625499596716,6.5298764987901485,0.3333333333333333,0.6666666666666666,0.0032649382493950743,0.0002094948420568801,0.2094948420568801,R-3m,166,3,MgO2
O,15.999,152.0,3.44,13.618,1.461,5.3,2.086039015362625,6.258117046087874,0.3333333333333333,0.6666666666666666,0.0031290585230439373,0.00018200834761769206,0.18200834761769205,P1,1,12,MgO2
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.46107127443787,3.22749892106509,0.14285714285714285,0.8571428571428571,0.0005379164868441817,6.575935042925441e-07,0.0006575935042925441,Cmmm,65,7,MgBr6
O,15.999,152.0,3.44,13.618,1.461,5.3,3.702662787787812,7.405325575575624,0.5,0.5,0.0074053255755756235,0.0003282628013536419,0.3282628013536419,Ibam,72,24,MgO
O,15.999,152.0,3.44,13.618,1.461,5.3,2.7903993758056123,5.5807987516112245,0.5,0.5,0.005580798751611224,0.00022882843106405523,0.22882843106405523,P1,1,80,MgO
O,15.999,152.0,3.44,13.618,1.461,5.3,3.6734281653263126,7.346856330652625,0.5,0.5,0.007346856330652625,0.000320745842236693,0.320745842236693,Ibam,72,16,MgO
