Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume,mid,Composition
Sb,Li12 Sb6,18,12.0,6.0,0.16016551592850242,0.008898084218250134,0.013347126327375202,0.026694252654750405,350.79778867128954,1545896,Li12 Sb6
Cd,Li1 Cd3,4,1.0,3.0,0.023499176008886846,0.0058747940022217116,0.023499176008886846,0.007833058669628948,80.55091588835933,1222405,Li1 Cd3
La,Li1 La3,4,1.0,3.0,0.06015341796173462,0.015038354490433656,0.06015341796173462,0.02005113932057821,133.9088188744642,976424,Li1 La3
Mg,Li4 Mg2,6,4.0,2.0,0.08573417018050968,0.014289028363418279,0.02143354254512742,0.04286708509025484,122.68729428509897,1094586,Li4 Mg2
In,Li5 In4,9,5.0,4.0,0.11060375007638083,0.012289305564042315,0.022120750015276167,0.027650937519095208,172.53235405047664,1079408,Li5 In4
Au,Li1 Au1,2,1.0,1.0,0.013794981177118405,0.006897490588559202,0.013794981177118405,0.013794981177118405,32.26339908678742,1222403,Li1 Au1
N,Li3 N1,4,3.0,1.0,0.029855898383607,0.00746397459590175,0.009951966127869,0.029855898383607,43.497379020640324,2251,Li3 N1
In,Li1 In3,4,1.0,3.0,0.03100496815079542,0.007751242037698855,0.03100496815079542,0.010334989383598473,92.019700936035,973748,Li1 In3
Mg,Li3 Mg3,6,3.0,3.0,0.076692904425954,0.012782150737659,0.025564301475318,0.025564301475318,120.4009534765606,976239,Li3 Mg3
O,Li1 O8,9,1.0,8.0,0.004141502630533464,0.00046016695894816266,0.004141502630533464,0.000517687828816683,102.64477845466965,1235059,Li1 O8
Np,Li1 Np3,4,1.0,3.0,0.041445742037403435,0.010361435509350859,0.041445742037403435,0.013815247345801146,63.52206894876317,1185274,Li1 Np3
B,Li2 B1,3,2.0,1.0,0.022439162636602093,0.007479720878867364,0.011219581318301046,0.022439162636602093,26.604395054253402,1222698,Li2 B1
Cd,Li2 Cd2,4,2.0,2.0,0.04151507517954523,0.010378768794886308,0.020757537589772616,0.020757537589772616,74.01322797782355,1437,Li2 Cd2
P,Li2 P6,8,2.0,6.0,0.016494107788180862,0.0020617634735226077,0.008247053894090431,0.00274901796469681,124.81950356785516,1025406,Li2 P6
Au,Li3 Au1,4,3.0,1.0,0.052025550587010666,0.013006387646752667,0.017341850195670222,0.052025550587010666,62.411879761054855,1185200,Li3 Au1
Tl,Li1 Tl1,2,1.0,1.0,0.029287705254016902,0.014643852627008451,0.029287705254016902,0.029287705254016902,40.69982827781539,934,Li1 Tl1
Sn,Li14 Sn6,20,14.0,6.0,0.20654612208760176,0.010327306104380088,0.014753294434828697,0.03442435368126696,360.56254070006275,30768,Li14 Sn6
Pb,Li7 Pb2,9,7.0,2.0,0.09197823097577981,0.010219803441753312,0.013139747282254258,0.045989115487889906,163.61619230948645,30761,Li7 Pb2
Mg,Li1 Mg1,2,1.0,1.0,0.024883160838879568,0.012441580419439784,0.024883160838879568,0.024883160838879568,42.055551543188095,1094578,Li1 Mg1
O,Li2 O4,6,2.0,4.0,0.029279264431213994,0.004879877405202332,0.014639632215606997,0.007319816107803499,57.78349976500337,1018789,Li2 O4
H,Li1 H1,2,1.0,1.0,0.02046539797068335,0.010232698985341675,0.02046539797068335,0.02046539797068335,16.207758202347904,23703,Li1 H1
Mg,Li3 Mg1,4,3.0,1.0,0.06109144135783969,0.015272860339459923,0.020363813785946563,0.06109144135783969,81.39637365353093,976139,Li3 Mg1
W,Li1 W3,4,1.0,3.0,0.02597689300231,0.0064942232505775,0.02597689300231,0.008658964334103333,60.893920865046184,1185237,Li1 W3
B,Li2 B18,20,2.0,18.0,0.057100515733424034,0.002855025786671202,0.028550257866712017,0.003172250874079113,143.11454789858448,1105976,Li2 B18
P,Li4 P20,24,4.0,20.0,0.0059107684035488856,0.0002462820168145369,0.0014776921008872214,0.0002955384201774443,460.0201323636716,2412,Li4 P20
Re,Li1 Re3,4,1.0,3.0,0.06543659098507706,0.016359147746269266,0.06543659098507706,0.02181219699502569,56.90620477739353,1185410,Li1 Re3
Mg,Li2 Mg4,6,2.0,4.0,0.08347664080651088,0.013912773467751813,0.04173832040325544,0.02086916020162772,128.39475330724557,1094604,Li2 Mg4
Mg,Li5 Mg1,6,5.0,1.0,0.09644160486223913,0.01607360081037319,0.019288320972447825,0.09644160486223913,122.51128169931809,976944,Li5 Mg1
N,Li3 N2,5,3.0,2.0,0.03620466608384157,0.007240933216768314,0.01206822202794719,0.018102333041920785,58.06858996341249,1222421,Li3 N2
B,Li4 B12,16,4.0,12.0,0.10827332453091851,0.006767082783182407,0.027068331132729627,0.009022777044243209,146.89719224397047,1222413,Li4 B12
